BLG	Merian	matches	total_BLG	total_Merian	prop_BLG	prop_Merian
B1	M31	1	35	4	2.85714285714286	25
B1	M4	0	35	40	0	0
B1	M5	0	35	46	0	0
B1	M6	5	35	36	14.2857142857143	13.8888888888889
B1	M7	0	35	46	0	0
B1	M8	0	35	38	0	0
B1	M9	1	35	43	2.85714285714286	2.32558139534884
B1	MZ	4	35	38	11.4285714285714	10.5263157894737
B2	M1	1	30	65	3.33333333333333	1.53846153846154
B2	M10	0	30	38	0	0
B2	M11	1	30	35	3.33333333333333	2.85714285714286
B2	M12	8	30	30	26.6666666666667	26.6666666666667
B2	M13	3	30	32	10	9.375
B2	M14	0	30	23	0	0
B2	M15	0	30	33	0	0
B2	M16	2	30	33	6.66666666666667	6.06060606060606
B2	M17	0	30	27	0	0
B2	M18	2	30	20	6.66666666666667	10
B2	M19	0	30	25	0	0
B2	M2	0	30	47	0	0
B2	M20	0	30	22	0	0
B2	M21	0	30	25	0	0
B2	M22	0	30	31	0	0
B2	M23	0	30	23	0	0
B2	M24	0	30	12	0	0
B2	M25	7	30	9	23.3333333333333	77.7777777777778
B2	M26	1	30	2	3.33333333333333	50
B2	M27	0	30	8	0	0
B2	M28	0	30	10	0	0
B2	M29	0	30	13	0	0
B2	M3	0	30	57	0	0
B2	M30	1	30	5	3.33333333333333	20
B2	M31	0	30	4	0	0
B2	M4	0	30	40	0	0
B2	M5	2	30	46	6.66666666666667	4.34782608695652
B2	M6	0	30	36	0	0
B2	M7	1	30	46	3.33333333333333	2.17391304347826
B2	M8	0	30	38	0	0
B2	M9	0	30	43	0	0
B2	MZ	1	30	38	3.33333333333333	2.63157894736842
B3	M1	7	15	65	46.6666666666667	10.7692307692308
B3	M10	0	15	38	0	0
B3	M11	0	15	35	0	0
B3	M12	0	15	30	0	0
B3	M13	0	15	32	0	0
B3	M14	0	15	23	0	0
B3	M15	0	15	33	0	0
B3	M16	0	15	33	0	0
B3	M17	0	15	27	0	0
B3	M18	0	15	20	0	0
B3	M19	1	15	25	6.66666666666667	4
B3	M2	0	15	47	0	0
B3	M20	0	15	22	0	0
B3	M21	0	15	25	0	0
B3	M22	0	15	31	0	0
B3	M23	0	15	23	0	0
B3	M24	0	15	12	0	0
B3	M25	0	15	9	0	0
B3	M26	0	15	2	0	0
B3	M27	0	15	8	0	0
B3	M28	0	15	10	0	0
B3	M29	0	15	13	0	0
B3	M3	4	15	57	26.6666666666667	7.01754385964912
B3	M30	0	15	5	0	0
B3	M31	0	15	4	0	0
B3	M4	2	15	40	13.3333333333333	5
B3	M5	0	15	46	0	0
B3	M6	0	15	36	0	0
B3	M7	0	15	46	0	0
B3	M8	0	15	38	0	0
B3	M9	0	15	43	0	0
B3	MZ	1	15	38	6.66666666666667	2.63157894736842
C1	M1	0	58	65	0	0
C1	M10	12	58	38	20.6896551724138	31.5789473684211
C1	M11	0	58	35	0	0
C1	M12	0	58	30	0	0
C1	M13	0	58	32	0	0
C1	M14	1	58	23	1.72413793103448	4.34782608695652
C1	M15	0	58	33	0	0
C1	M16	0	58	33	0	0
C1	M17	1	58	27	1.72413793103448	3.7037037037037
C1	M18	0	58	20	0	0
C1	M19	0	58	25	0	0
C1	M2	15	58	47	25.8620689655172	31.9148936170213
C1	M20	0	58	22	0	0
C1	M21	0	58	25	0	0
C1	M22	26	58	31	44.8275862068966	83.8709677419355
C1	M23	1	58	23	1.72413793103448	4.34782608695652
C1	M24	0	58	12	0	0
C1	M25	0	58	9	0	0
C1	M26	1	58	2	1.72413793103448	50
C1	M27	0	58	8	0	0
C1	M28	0	58	10	0	0
C1	M29	0	58	13	0	0
C1	M3	0	58	57	0	0
C1	M30	0	58	5	0	0
C1	M31	0	58	4	0	0
C1	M4	0	58	40	0	0
C1	M5	1	58	46	1.72413793103448	2.17391304347826
C1	M6	0	58	36	0	0
C1	M7	0	58	46	0	0
C1	M8	0	58	38	0	0
C1	M9	0	58	43	0	0
C1	MZ	0	58	38	0	0
C2	M1	0	6	65	0	0
C2	M10	0	6	38	0	0
C2	M11	0	6	35	0	0
C2	M12	2	6	30	33.3333333333333	6.66666666666667
C2	M13	0	6	32	0	0
C2	M14	0	6	23	0	0
C2	M15	0	6	33	0	0
C2	M16	0	6	33	0	0
